City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Karratha,AU,2021-03-24 23:12:31,-20.7377,116.8463,81.84,63,6,5.3
157,Urumqi,CN,2021-03-24 23:12:31,43.801,87.6005,35.6,87,0,2.24
158,Nishihara,JP,2021-03-24 23:12:32,26.1842,127.7558,68.0,73,20,14.97
159,Codrington,AU,2021-03-24 23:12:32,-38.2667,141.9667,60.15,78,75,14.23
160,Kudligi,IN,2021-03-24 23:12:32,14.9,76.3833,77.49,41,33,6.82
161,Dikson,RU,2021-03-24 23:12:32,73.5069,80.5464,-7.67,100,87,4.72
162,Provideniya,RU,2021-03-24 23:12:33,64.3833,-173.3,15.8,79,75,11.18
163,Puntarenas,CR,2021-03-24 23:11:56,9.9763,-84.8384,77.0,65,75,5.75
164,Cabo San Lucas,MX,2021-03-24 23:09:00,22.8909,-109.9124,73.4,59,40,17.27
165,Kachug,RU,2021-03-24 23:12:33,53.9606,105.8817,14.29,97,100,3.13
166,Teya,RU,2021-03-24 23:12:33,60.3778,92.6267,27.43,95,99,7.29
167,Wagar,SD,2021-03-24 23:12:34,16.1525,36.2032,89.47,21,4,11.36
168,Anadyr,RU,2021-03-24 23:12:34,64.75,177.4833,8.6,78,40,17.9
169,Santa Isabel Do Rio Negro,BR,2021-03-24 23:12:34,-0.4139,-65.0192,74.7,91,52,3.33
170,Vaini,TO,2021-03-24 23:12:34,-21.2,-175.2,75.2,94,90,14.97
171,Geraldton,AU,2021-03-24 23:12:35,-28.7667,114.6,55.4,82,0,5.75
172,Esperance,AU,2021-03-24 23:12:35,-33.8667,121.9,51.8,93,67,8.05
173,Kavieng,PG,2021-03-24 23:12:35,-2.5744,150.7967,82.67,73,92,9.53
174,Qaanaaq,GL,2021-03-24 23:12:35,77.484,-69.3632,-20.78,59,19,7.29
175,Faanui,PF,2021-03-24 23:12:36,-16.4833,-151.75,83.61,74,99,21.88
176,Krasnoselkup,RU,2021-03-24 23:12:36,65.7,82.4667,14.5,97,91,6.91
177,Kenai,US,2021-03-24 23:12:36,60.5544,-151.2583,37.4,86,90,10.36
178,Tremedal,BR,2021-03-24 23:12:36,-14.9758,-41.4108,74.46,45,8,5.26
179,Vila Franca Do Campo,PT,2021-03-24 23:12:37,37.7167,-25.4333,55.4,76,20,10.36
180,Sioux Lookout,CA,2021-03-24 23:12:37,50.1001,-91.917,30.2,74,90,11.5
181,Straumen,NO,2021-03-24 23:12:37,63.8709,11.2999,39.2,70,75,4.61
182,Richards Bay,ZA,2021-03-24 23:12:37,-28.783,32.0377,69.8,67,100,3.87
183,Sambava,MG,2021-03-24 23:12:38,-14.2667,50.1667,75.61,92,53,3.94
184,Chupaca,PE,2021-03-24 23:12:38,-12.0667,-75.2833,53.4,79,95,5.41
185,Marzuq,YE,2021-03-24 23:12:38,14.4,46.4667,65.71,23,1,5.32
186,Landeck,AT,2021-03-24 23:12:38,47.1301,10.5636,33.8,69,0,6.91
187,Sao Gabriel Da Cachoeira,BR,2021-03-24 23:12:39,-0.1303,-67.0892,75.92,87,97,2.37
